mae,rmse,mape,ENCODED_MCT,train_points,eval_points
,,,003AC99735,18,6
,,,00F54829E1,18,6
,,,00FDB35E9C,18,6
,,,01EDD97C21,18,6
,,,01FD0FCC3D,8,6
,,,0220D6AA93,18,6
,,,029F2B4A59,18,6
,,,02A32AE992,18,6
,,,02FE4FD151,18,6
,,,035ADB2AA8,18,6
,,,036B3FD49B,18,6
,,,03BE2D577F,12,6
,,,0487117D58,18,6
,,,055A2785B9,18,6
,,,05EE42C739,18,6
,,,06A87DAA45,18,6
,,,085F6E716F,11,6
,,,08A8D396B4,15,6
,,,08D893CAA8,18,6
,,,0961D33241,18,6
,,,09A5C8DB83,18,6
,,,0AD9FBF8D6,18,6
,,,0AF7BD60A5,18,6
,,,0C02E54954,18,6
,,,0C074FD60A,8,6
,,,0C1B547B6E,18,6
,,,0C8BE8ECAD,18,6
,,,0C9C887E27,6,6
,,,0CB94CB82A,18,6
,,,0DE3499749,18,6
,,,0E47B24887,18,6
,,,0E614A7B1A,18,6
,,,0E7F1F5130,18,6
,,,0EE4BD7D7A,18,6
,,,0F646F50F7,18,6
,,,0FA542A8DB,18,6
,,,1.71E+17,18,6
,,,11191365FD,18,6
,,,120283327E,18,6
,,,12A28908F1,6,6
,,,132078A4FE,18,6
,,,133FADDC35,18,6
,,,1389DE67CE,18,6
,,,13C3C13D99,18,6
,,,13F02B91F6,18,6
,,,158A1920D0,18,6
,,,15B7F02740,18,6
,,,15CFCB9040,18,6
,,,167F268F8E,18,6
,,,16F5C2A5B3,18,6
,,,16FA1843AE,11,6
,,,17FCA23DD7,18,6
,,,180F6A644D,18,6
,,,18139EA68D,12,6
,,,18FC952F28,18,6
,,,197C457DEF,18,6
,,,19FD619523,18,6
,,,1AE0F9961C,18,6
,,,1C69DD5AFC,18,6
,,,1CC86C2EB2,18,6
,,,1CCF1F16FD,11,6
,,,1D9B20B1B9,18,6
,,,1DDB44FF35,18,6
,,,1F4203EA83,18,6
,,,1FAF18BB8F,11,6
,,,20CD5C4AB7,18,6
,,,21348D6015,18,6
,,,21373CB273,18,6
,,,2143174547,18,6
,,,21B52E1F0F,18,6
,,,225DC4C12C,18,6
,,,2445E4D19D,18,6
,,,2485494277,18,6
,,,24F5384BB4,15,6
,,,255821302B,18,6
,,,268A868E38,18,6
,,,26ACE594E8,18,6
,,,2716FFD10A,18,6
,,,274F7C9F52,18,6
,,,28DC0855AC,18,6
,,,2AF934A41E,18,6
,,,2BF66155BC,18,6
,,,2C72D19DB4,18,6
,,,2C8DAA2BF9,18,6
,,,2CF63CC8AA,18,6
,,,2E4CDEA048,8,6
,,,2E5E8F46A2,18,6
,,,2E8B2318F2,18,6
,,,2EAE67C0B4,8,6
,,,2F190FBDCA,12,6
,,,2F2BBD5117,18,6
,,,2FB475D73E,18,6
,,,2FF80BC960,18,6
,,,304DF7C3D2,9,6
,,,30623F3257,18,6
,,,3115CB8448,18,6
,,,312F1E6B7B,18,6
,,,32514851CD,18,6
,,,335B38273C,18,6
,,,33706FFD69,18,6
,,,33C513E513,12,6
,,,3456938AFA,18,6
,,,34ADC7D5B3,8,6
,,,3593B2D487,18,6
,,,36E3A686C1,18,6
,,,36FA50BD7D,6,6
,,,378C662D8E,12,6
,,,37AA28CAF8,18,6
,,,37C22962DB,13,6
,,,383481B7AC,18,6
,,,387BDBCD80,18,6
,,,391836F1E0,11,6
,,,3AE8B97E90,18,6
,,,3AF3906E1E,16,6
,,,3D65A21626,6,6
,,,3DB47F6D25,18,6
,,,3DDD63B1FA,18,6
,,,3DE5786D97,12,6
,,,3F9407A8C2,18,6
,,,3FE023E09E,10,6
,,,4018B532A8,18,6
,,,40876D8589,18,6
,,,41B1FC479A,18,6
,,,41FCF57F43,9,6
,,,424ABA9D67,18,6
,,,4261C5A667,18,6
,,,428FFBD76A,18,6
,,,434671439E,18,6
,,,43B89D891C,9,6
,,,43B9C1697C,18,6
,,,44A9291640,18,6
,,,45F19425EF,18,6
,,,45FEE5DBC4,18,6
,,,46F56D0D63,18,6
,,,474B033710,18,6
,,,475ED601EB,18,6
,,,48C1483437,18,6
,,,48D0F061EB,18,6
,,,499F119A8A,18,6
,,,4A3538DDC3,13,6
,,,4A42915A44,15,6
,,,4AD953D850,11,6
,,,4BA62EBC13,18,6
,,,4BF0C08F5F,18,6
,,,4C60EE6CA4,6,6
,,,4C8487EFAE,18,6
,,,4E5DEDBDDC,18,6
,,,4EE6193540,18,6
,,,4F374EBA09,18,6
,,,4F4288168A,18,6
,,,4F68679BB6,18,6
,,,4F91DC078E,18,6
,,,502658D9C9,18,6
,,,502C539374,18,6
,,,50A2E31DF5,18,6
,,,50A34DE644,18,6
,,,50BB2EA330,18,6
,,,50FC72558D,18,6
,,,5113D031FD,18,6
,,,535999101E,6,6
,,,5595AE45A8,14,6
,,,5653B531F7,18,6
,,,56AB36BDAF,11,6
,,,56CCDF6E4B,18,6
,,,572B665575,18,6
,,,57DEE6D415,18,6
,,,58B1DEEE5D,14,6
,,,58C2DD4547,18,6
,,,58D324F8BD,18,6
,,,591CBB3B43,18,6
,,,5974B075AD,18,6
,,,598E46F283,18,6
,,,5A0D48A713,18,6
,,,5A51AD1FF1,18,6
,,,5A5B5CC478,18,6
,,,5AD0940FDD,8,6
,,,5B0E07A8BA,10,6
,,,5B110F468D,18,6
,,,5B1F2A7BA9,13,6
,,,5B5AE038F6,18,6
,,,5BB5DF8D62,18,6
,,,5BC9440DAF,18,6
,,,5BE0890F4A,18,6
,,,5BFB461F3A,15,6
,,,5D86802675,18,6
,,,5D9E5F8645,18,6
,,,5DC3FB1D5F,18,6
,,,5DEC65272B,18,6
,,,5E30D7653F,18,6
,,,5E5092A910,18,6
,,,5EB844551A,18,6
,,,5F2DDA0178,18,6
,,,5FCE089938,18,6
,,,6010892CCE,18,6
,,,60334AB92C,18,6
,,,613B8B6375,18,6
,,,61472439B5,18,6
,,,61574AF3E1,18,6
,,,61A3133822,18,6
,,,62DCAD38F6,18,6
,,,62EF38C706,7,6
,,,63064A8A5C,18,6
,,,63135A8618,18,6
,,,64477AD191,16,6
,,,652AA8E8C5,18,6
,,,655851E372,18,6
,,,667F7D3E48,18,6
,,,674011F2F1,18,6
,,,67551595FA,18,6
,,,6779202960,11,6
,,,6810C7C7CE,18,6
,,,6930EE8A71,18,6
,,,693A6576E9,18,6
,,,69756C0A85,18,6
,,,6A584E1D14,18,6
,,,6B31815A9D,18,6
,,,6B61E9F331,18,6
,,,6B62F6001E,18,6
,,,6B7B1EE6FA,18,6
,,,6B99F5A278,16,6
,,,6C347DBCB1,18,6
,,,6C3AFD20C1,7,6
,,,6CB3606866,18,6
,,,6D331F1EE9,18,6
,,,6DF56DD3F4,18,6
,,,6DFE8B7651,18,6
,,,6F17AD6277,18,6
,,,6FB12F3636,16,6
,,,6FE0E66A8A,18,6
,,,7069AC584A,10,6
,,,70F032FFD5,18,6
,,,7162A93F6B,18,6
,,,71C48EDE85,10,6
,,,72AA2FB49E,18,6
,,,730914BE0E,18,6
,,,7439039EF1,18,6
,,,75296C3F60,18,6
,,,75E1602760,10,6
,,,770A25491E,11,6
,,,770CC873E4,18,6
,,,77B5670808,18,6
,,,77DBEC55AD,18,6
,,,7829A485F0,18,6
,,,79892ACBB1,18,6
,,,79DB6DBBB4,18,6
,,,79EBBF0E89,18,6
,,,79F7BABD3E,18,6
,,,7A29E2FB9F,18,6
,,,7AFF6C86CE,18,6
,,,7B038FEF47,18,6
,,,7D812F3CC3,18,6
,,,7E1DD52BF1,18,6
,,,7E63F9E0CF,11,6
,,,7E78A7C976,18,6
,,,80012F987D,18,6
,,,809BEAA13A,18,6
,,,80E637212D,18,6
,,,8177FA0EF1,18,6
,,,81A9553F88,18,6
,,,81C425F47D,10,6
,,,82090124F0,18,6
,,,831DD29FAB,18,6
,,,842D25724F,18,6
,,,8532D4C362,17,6
,,,86129404BB,18,6
,,,869C372EFC,18,6
,,,895BBD5C5B,14,6
,,,89D3C820E9,18,6
,,,89F36844AE,18,6
,,,8A5378CE22,18,6
,,,8B23667254,18,6
,,,8BA83008CB,18,6
,,,8BFDD0339E,8,6
,,,8C96D7ED90,18,6
,,,8DDCE4944D,18,6
,,,8E3B9888E3,18,6
,,,9.97E+102,18,6
,,,9042A5401C,18,6
,,,90644ECF42,18,6
,,,9218EE2A57,18,6
,,,943BBD5F30,18,6
,,,94502BA9DC,18,6
,,,95C390B637,6,6
,,,9643B485DF,18,6
,,,966680A20F,18,6
,,,96728A7226,17,6
,,,9911CB0D95,18,6
,,,995D6B6C92,18,6
,,,9972114004,18,6
,,,99973542B9,18,6
,,,9A0EC55599,18,6
,,,9A27CDDD2A,18,6
,,,9A9ADB69FB,15,6
,,,9AFEF6448B,18,6
,,,9C3EC0EDDC,18,6
,,,9DBBC0BC17,18,6
,,,9DE30019C9,18,6
,,,9DE5AC9FFD,18,6
,,,9E719E496C,18,6
,,,9ED42062FD,18,6
,,,9F42371A46,18,6
,,,9FBE5BF7CF,18,6
,,,A0A1FF8F0B,18,6
,,,A1886B3C8E,18,6
,,,A2A41AAC50,18,6
,,,A2D9C941A9,18,6
,,,A33442D657,18,6
,,,A412739857,12,6
,,,A50A5265C1,18,6
,,,A5DC44A844,18,6
,,,A787679642,18,6
,,,A7BC78E695,12,6
,,,A89BEC57A0,18,6
,,,A92743CA52,18,6
,,,A9B8207363,12,6
,,,AA351B2BFF,12,6
,,,AC3DCE45BE,18,6
,,,AD045C18E5,18,6
,,,AD0F358619,18,6
,,,AD57E72BC9,18,6
,,,AEF0DF6708,18,6
,,,AF12407D8A,18,6
,,,AF202842B3,18,6
,,,B0A6B628D3,18,6
,,,B113A0DC35,18,6
,,,B2240E407A,18,6
,,,B2319196A9,8,6
,,,B2781768EE,18,6
,,,B4C8D0B6AD,18,6
,,,B5AFB737F5,18,6
,,,B5E96D7BB4,17,6
,,,B88DBA7876,18,6
,,,B8C1E9F4C6,10,6
,,,B8F11300C9,18,6
,,,B918A3FB98,18,6
,,,B95A7665A4,18,6
,,,B9CF9A1A80,18,6
,,,BA9B0547FD,12,6
,,,BB508E9B60,18,6
,,,BC04FDC81C,18,6
,,,BC3B472D8E,18,6
,,,BCA89C9A13,18,6
,,,BCB8BCC1D2,18,6
,,,BD237E8126,18,6
,,,BD730ED969,18,6
,,,BDC0AED34F,16,6
,,,BDD7EBEC25,18,6
,,,BE0A7DD7AB,13,6
,,,BE646F48C4,18,6
,,,BE8BE0B9CF,18,6
,,,BF43B6D3DA,18,6
,,,BF872A7E89,18,6
,,,BF8F8AFC4B,18,6
,,,BF9955B7C9,18,6
,,,BFDC273AED,18,6
,,,C078C96A10,18,6
,,,C2917321B5,13,6
,,,C45BC175C8,18,6
,,,C6363F8E19,18,6
,,,C65FEFD6D4,18,6
,,,C6A7D1B09B,18,6
,,,C766BAD8FB,18,6
,,,C76B1790F8,18,6
,,,C76DAFE8C1,18,6
,,,C7B69482A3,18,6
,,,C7F49C4961,18,6
,,,CA4D5857BC,18,6
,,,CA5307D30A,18,6
,,,CAF68EC2CB,18,6
,,,CB42B1688B,18,6
,,,CD4571800C,18,6
,,,CDAEDB0A25,18,6
,,,CEC2707AF8,8,6
,,,CED8E4AEE5,18,6
,,,CF11E9E059,18,6
,,,D01DF9EC5F,18,6
,,,D21FE6A7B4,18,6
,,,D2E6E383CD,18,6
,,,D3E9FFD90F,18,6
,,,D3F29D0C95,18,6
,,,D57855D6EF,18,6
,,,D5845DCD06,11,6
,,,D72BC9D1A2,18,6
,,,D731C6D372,18,6
,,,D749124593,18,6
,,,D78D9659F1,17,6
,,,D877FBFA11,18,6
,,,DA38CBD132,18,6
,,,DA4DC755CB,10,6
,,,DA5B732423,18,6
,,,DB4CA4D632,18,6
,,,DD0FCFEDE6,18,6
,,,DD5C3290AF,18,6
,,,DECBA9ED42,10,6
,,,DF8B176772,18,6
,,,E02749FC67,18,6
,,,E0A583DB58,18,6
,,,E1FDBF2D4D,18,6
,,,E427B5E29F,18,6
,,,E474B338BD,18,6
,,,E4899A583F,18,6
,,,E4A9ECB7B9,18,6
,,,E4E4B45D06,18,6
,,,E569E14F36,18,6
,,,E58F84D462,18,6
,,,E61969DA0F,18,6
,,,E655648F43,18,6
,,,E6BF54CE96,18,6
,,,E71673016B,18,6
,,,E72B5A0A41,18,6
,,,E7EF031D24,18,6
,,,EA5FAE889A,18,6
,,,EAD182F319,18,6
,,,EB66B019B5,18,6
,,,EBE0962975,18,6
,,,EBE76155D3,17,6
,,,ECCBAE7ACB,18,6
,,,ED35FCD6A1,18,6
,,,ED968D5FD1,18,6
,,,EE000D3E14,6,6
,,,EE0678A190,10,6
,,,F0082429E9,18,6
,,,F1157A79D0,18,6
,,,F1758BF01F,18,6
,,,F1D42A1E4A,18,6
,,,F2207F8023,18,6
,,,F24F0E217A,18,6
,,,F2A06B9694,18,6
,,,F4013DE365,18,6
,,,F4BEB03DA2,18,6
,,,F4E7570A2E,18,6
,,,F58CA84077,10,6
,,,F8A788D183,6,6
,,,FA8BCD6DDD,17,6
,,,FAB0188A01,18,6
,,,FC69270591,18,6
,,,FCA7A6787B,18,6
,,,FCAF2BC53E,18,6
,,,FCAF3BA597,18,6
,,,FCE9571860,18,6
,,,FD69236F45,18,6
,,,FDC922ABCE,18,6
,,,FDD6335CBC,18,6
,,,FE826E7775,18,6
,,,FEB83042A5,18,6
,,,FEC2FCF4DA,18,6
,,,FEE6966193,18,6
,,,FF3AE5174C,6,6
,,,FF3C3A8704,13,6
